📺央视频道,#genre#
CCTV1,http://192.168.6.1:1207/rtp/239.255.40.35:8208
CCTV1,http://192.168.6.1:1207/rtp/239.255.40.166:8208
CCTV1,http://192.168.6.1:1207/rtp/239.255.40.167:8208
CCTV1,http://192.168.6.1:1207/rtp/239.255.40.173:8208
CCTV1,http://192.168.6.1:1207/rtp/239.255.40.174:8208
CCTV1,http://192.168.6.1:1207/rtp/239.255.40.204:8208
CCTV1,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZS9nMkEyVWdIVUcxQWlsZkdGbUY2cUZTaGUzQnF5MnBEVkxTamMxRVFxRGc9
CCTV2,http://192.168.6.1:1207/rtp/239.255.40.36:8208
CCTV3,http://192.168.6.1:1207/rtp/239.255.40.195:8208
CCTV4,http://192.168.6.1:1207/rtp/239.255.40.198:8208
CCTV5,http://192.168.6.1:1207/rtp/239.255.40.196:8208
CCTV5+,http://192.168.6.1:1207/rtp/239.255.40.34:8208
CCTV5+,http://192.168.6.1:1207/rtp/239.255.40.71:8208
CCTV7,http://192.168.6.1:1207/rtp/239.255.40.37:8208
CCTV9,http://192.168.6.1:1207/rtp/239.255.40.38:8208
CCTV9,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZXpGazRnc2ptTisxeDJaMVZiZ0RJSDdaYmJCYm12WTU0eHJXN01ZNEo2STg9
CCTV10,http://192.168.6.1:1207/rtp/239.255.40.39:8208
CCTV11,http://192.168.6.1:1207/rtp/239.255.40.2:8208
CCTV11,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZXpGazRnc2ptTisxeDJaMVZiZ0RJSDFUYm9PVHZ1bWpjZlVxRmMrSE05N009
CCTV12,http://192.168.6.1:1207/rtp/239.255.40.40:8208
CCTV13,http://192.168.6.1:1207/rtp/239.255.40.3:8208
CCTV13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV13,https://feiyang.wangdu.site/decrypt.php?url=bHdoYTBPMFpsc0FtOCt2bk5yTVA0S20rb0J6TTIxVGIxQ09jYjlyLzVMa2hrL1I1T25hWTNudlIzZkxEZ2VQbA%3D%3D
CCTV15,http://192.168.6.1:1207/rtp/239.255.40.4:8208
CCTV16,http://192.168.6.1:1207/rtp/239.255.40.194:8208
CCTV16,https://feiyang.wangdu.site/decrypt.php?url=VFJNSFVHMFlzb0NwRHZQcUhCVHV1NzdjaGVMOGY4bStodkhocHpDSFIzVGw4eDZITk1nNHhLTVlxNnBYVWRGVw%3D%3D
CCTV17,http://192.168.6.1:1207/rtp/239.255.40.143:8208

📡卫视频道,#genre#
东南卫视,http://192.168.6.1:1207/rtp/239.255.40.149:8208
东南卫视,http://192.168.6.1:1207/rtp/239.255.40.203:8208
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
广东卫视,http://192.168.6.1:1207/rtp/239.255.40.52:8208
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8
浙江卫视,http://192.168.6.1:1207/rtp/239.255.40.49:8208
浙江卫视,https://feiyang.wangdu.site/decrypt.php?url=R0pNS3ZscGVSc3U2MFVLQ3REaE04S3lqeUZyOEIwb0xJam5Cc1FwT1FoRGlFNjFvbE5MN1lvaGtGTGZiaTBXRGdZTUl2SjcwREM0WmtsalhJZ09JekE9PQ%3D%3D
浙江卫视,https://feiyang.wangdu.site/decrypt.php?url=SG1VeENiZ292Zy91c285eGJMaUYyVWdWZjBJSmlXMVB5aTNoMVNrd1NyZFZJRmhEQ0U1V0M3YjV6a1ZxYWt1ejkyTUg0N01ZV21xVEVCdEZodElRN3c9PQ%3D%3D
浙江卫视,https://feiyang.wangdu.site/decrypt.php?url=R0pNS3ZscGVSc3U2MFVLQ3REaE04S3lqeUZyOEIwb0xJam5Cc1FwT1FoRGlFNjFvbE5MN1lvaGtGTGZiaTBXRG5qcFpiNjZMNzIxaTZVWko2RFRNMnc9PQ%3D%3D
湖南卫视,http://192.168.6.1:1207/rtp/239.255.40.43:8208
北京卫视,http://192.168.6.1:1207/rtp/239.255.40.46:8208
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZStpN2NnNG41Q1pqRHJjL1JvUnR2WTU5Q09oY1RwY3lQa3JiUlBuUWhRRm89
湖北卫视,http://192.168.6.1:1207/rtp/239.255.40.47:8208
湖北卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZUdwVzV0dWQzWW9sVExJazUrdUVWSzFNNmJ6Ui9vdUhPWXg0SHBZR0QxVnM9
湖北卫视,http://www.745612.xyz:7788/rtp/235.254.198.72:1564
黑龙江卫视,http://192.168.6.1:1207/rtp/239.255.40.44:8208
黑龙江卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZXl5d3duaFd4VXNORHVWeG4wTXFVbk1UV20wUndpdVM3a0ZpUG1vLytqa289
安徽卫视,http://192.168.6.1:1207/rtp/239.255.40.53:8208
安徽卫视,http://satellitepull.cnr.cn/live/wxahws/playlist.m3u8
安徽卫视,http://119.32.12.17:2901/udp/224.1.100.66:11111
重庆卫视,http://192.168.6.1:1207/rtp/239.255.40.21:8208
东方卫视,http://192.168.6.1:1207/rtp/239.255.40.50:8208
甘肃卫视,http://192.168.6.1:1207/rtp/239.255.40.16:8208
甘肃卫视,http://satellitepull.cnr.cn/live/wxgsws/playlist.m3u8
广西卫视,http://192.168.6.1:1207/rtp/239.255.40.22:8208
广西卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZVZEUXhaZi9Dazg1eGVIWjBnandRaEFtVVNuTDdaTTRGcGY4WUlrZTd3Wjg9
贵州卫视,http://192.168.6.1:1207/rtp/239.255.40.200:8208
贵州卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZXl5d3duaFd4VXNORHVWeG4wTXFVbk90cVFnbGFNc3lOUmp6SSs5UjVHVDg9
海南卫视,http://192.168.6.1:1207/rtp/239.255.40.23:8208
河北卫视,http://192.168.6.1:1207/rtp/239.255.40.20:8208
河南卫视,http://192.168.6.1:1207/rtp/239.255.40.9:8208
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://nctv.top/IDOEPpiryt/hntv.php?id=hnws
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
吉林卫视,http://192.168.6.1:1207/rtp/239.255.40.17:8208
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
江苏卫视,http://192.168.6.1:1207/rtp/239.255.40.42:8208
江西卫视,http://192.168.6.1:1207/rtp/239.255.40.18:8208
辽宁卫视,http://192.168.6.1:1207/rtp/239.255.40.54:8208
内蒙古卫视,http://192.168.6.1:1207/rtp/239.255.40.14:8208
宁夏卫视,http://192.168.6.1:1207/rtp/239.255.40.8:8208
青海卫视,http://192.168.6.1:1207/rtp/239.255.40.15:8208
山东卫视,http://192.168.6.1:1207/rtp/239.255.40.51:8208
山西卫视,http://192.168.6.1:1207/rtp/239.255.40.13:8208
陕西卫视,http://192.168.6.1:1207/rtp/239.255.40.10:8208
四川卫视,http://192.168.6.1:1207/rtp/239.255.40.19:8208
四川卫视,http://119.32.12.17:2901/udp/224.1.100.72:11111
深圳卫视,http://192.168.6.1:1207/rtp/239.255.40.199:8208
深圳卫视,http://yncbn.ks-cdn.gitv.tv/gitv_live/G_SHENZHEN-HQ/G_SHENZHEN-HQ.m3u8
深圳卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZXl5d3duaFd4VXNORHVWeG4wTXFVbkpwZTdRckhVdHNVVjI1MVRjMGZZSDg9
深圳卫视,http://satellitepull.cnr.cn/live/wxszws/playlist.m3u8
深圳卫视,http://119.32.12.17:2901/udp/224.1.100.40:11111
三沙卫视,http://192.168.6.1:1207/rtp/239.255.40.82:8208
天津卫视,http://192.168.6.1:1207/rtp/239.255.40.48:8208
西藏卫视,http://192.168.6.1:1207/rtp/239.255.40.12:8208
西藏卫视,http://www.lysvc.cc/daili/xztv.php?id=1
西藏卫视,https://feiyang.wangdu.site/decrypt.php?url=eWxyNlNiS1JJdUx6eS9QSzNvNXczTVFuTCtLYTY5UGtmK0h1dG1oVi9CVmlwWmVMQlZIZ1BaWVJEMU1uMTFBWA%3D%3D
新疆卫视,http://192.168.6.1:1207/rtp/239.255.40.11:8208
新疆卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZWt6eGNRS0dEZEZrWjNDVU1QWjJmL3RIUFBZWmdyRzJ6QkZFbXBHaEtGNFU9
云南卫视,http://192.168.6.1:1207/rtp/239.255.40.6:8208
云南卫视,https://hwapi.yntv.net/ew265l/z1z6s5.m3u8
